_key,_ko,_en
sword2,단검,Dagger
sword1,강철 단검,Steel Dagger
sword5,장검,Longsword
sword4,강철 장검,Steel Longsword
sword8,수호자의 검,Guardian's Blade
sword13,투사의 검,Warrior's Blade
sword11,대검,Greatsword
sword14,강철 대검,Steel Greatsword
sword7,식칼,chef Knife
sword9,냉기의 검,Blade of Frost
sword10,불꽃의 검,Blade of Flame
sword15,기사의 대검,Knight's Greatsword
sword17,얼음의 대검,Greatsword of Ice
sword18,화염의 대검,Greatsword of Fire
sword19,톱날검,Serrated Sword
sword20,저주받은 마검,Cursed Demonblade
sword21,마왕의 검,Overlord's Blade
sword22,암살자의 검,Assassin's Blade
sword23,서리칼날,Frostfang
sword3,단검,Dagger
sword6,장검,Longsword
sword12,요도,Blade of the Yokai
sword16,대검,Greatsword
sword2_comment,작은 단검,A small dagger
sword1_comment,강철로 강화한 단검,A dagger reinforced with steel
sword5_comment,길다란 검,A long sword
sword4_comment,강철로 강화한 장검,A longsword reinforced with steel
sword8_comment,날이 살짝 휘어진 장검,A slightly curved longsword
sword13_comment,투지가 상승하는 검,A sword that boosts morale
sword11_comment,큰 양손검,A large two-handed sword
sword14_comment,강철로 강화한 양손검,A two-handed sword reinforced with steel
sword7_comment,요리사가 사용하는 검,A sword used by chefs
sword9_comment,냉기의 기운이 깃든 검,A sword imbued with the power of frost
sword10_comment,불꽃의 기운이 깃든 검,A sword imbued with the power of flame
sword15_comment,기사가 사용하는 양손검,A two-handed sword used by knights
sword17_comment,얼음의 힘을 가진 양손검,A two-handed sword with the power of ice
sword18_comment,화염의 힘을 가진 양손검,A two-handed sword with the power of fire
sword19_comment,날카로운 톱날을 가진 양손검,A two-handed sword with a sharp saw blade
sword20_comment,악마의 저주를 받은 양손검,A cursed two-handed sword of the demon
sword21_comment,마왕이 사용하는 양손검,A two-handed sword used by the Demon King
sword22_comment,암살자가 사용하는 검,A sword used by assassins
sword23_comment,차가운 서리로 만든 양손검,A two-handed sword made of cold frost
sword3_comment,작은 단검,A small dagger
sword6_comment,길다란 검,A long sword
sword12_comment,이상하게 생긴 요괴의 검,The Yokai's Distorted Saber
sword16_comment,큰 양손검,A large two-handed sword
staff1,초록 지팡이,Green Staff
staff2,붉은 지팡이,Red Staff
staff3,검은 지팡이,Black Staff
staff4,파란 지팡이,Blue Staff
staff7,마법사의 지팡이,Wizard's Staff
staff5,대지의 지팡이,Staff of Earth
staff6,불꽃의 지팡이,Staff of Flame
staff8,어둠의 지팡이,Staff of Darkness
staff12,냉기의 지팡이,Staff of Frost
